,SKN load,ATG load,GLP load,MSR load,DMA load,MTQ load,LCA load,BRB load,SVG load,GRD load
1336,24.91,40.06,183.7,1.53,11.7,168.0,43.2,112.0,16.9,24.6
1337,25.48,40.88,186.1,1.52,12.1,170.1,44.8,111.4,16.9,24.7
1338,29.76,47.97,214.0,1.77,14.0,197.3,51.6,131.7,19.8,28.4
1339,32.26,51.19,238.8,1.95,15.0,214.4,55.8,143.3,21.5,31.0
1340,31.48,50.67,229.0,1.92,14.8,209.8,54.6,138.7,21.2,30.5
1341,29.25,48.07,218.9,1.77,14.0,197.8,50.9,132.2,19.6,28.8
1342,27.85,45.56,205.6,1.68,12.9,187.5,49.0,124.5,18.5,27.4
1343,25.37,41.12,187.9,1.56,11.9,171.3,44.7,112.5,17.3,24.9
1344,23.42,38.22,172.9,1.4,11.0,156.9,40.4,102.7,15.6,23.1
1345,22.2,35.54,165.6,1.35,10.5,148.6,38.6,98.5,15.0,21.2
1346,21.85,34.39,159.3,1.32,10.2,145.3,38.0,96.4,14.6,21.1
1347,21.88,34.84,158.1,1.3,9.9,143.8,37.4,93.8,14.3,20.8
1348,22.24,35.85,161.7,1.33,10.6,148.8,38.7,99.0,14.7,21.5
1349,25.63,40.73,187.7,1.54,12.2,171.9,45.2,114.4,17.1,25.2
1350,29.03,46.67,209.3,1.72,13.6,192.5,50.6,126.6,19.1,28.0
1351,31.24,49.97,230.7,1.88,14.6,206.6,53.5,135.1,20.6,29.7
1352,32.63,51.55,235.8,1.94,15.1,217.6,57.1,142.2,21.9,31.5
1353,34.51,54.01,253.5,2.06,15.7,227.4,58.6,151.7,22.9,32.7
1354,33.99,54.52,250.5,2.05,15.6,224.7,58.3,149.6,22.3,32.8
1355,35.19,56.17,253.4,2.11,16.2,231.3,59.9,152.1,23.0,34.0
1356,35.83,57.01,255.3,2.14,16.5,235.4,60.6,154.7,23.2,34.4
1357,34.9,56.4,254.5,2.1,16.5,232.5,61.0,153.0,23.3,33.9
1358,33.83,53.95,250.7,2.05,15.7,226.9,58.2,151.0,22.6,32.6
1359,32.73,52.09,242.8,1.98,15.4,220.2,56.6,145.4,22.2,32.0
1360,31.83,50.35,229.1,1.92,15.0,211.0,54.3,140.6,21.3,30.6
1361,31.46,50.75,232.6,1.86,14.5,208.4,53.8,138.2,20.7,29.8
1362,33.94,55.32,255.5,2.04,16.1,229.2,59.6,150.0,22.9,33.3
1363,35.9,57.16,262.3,2.15,16.7,238.9,61.3,156.6,23.9,34.2
1364,33.97,53.78,247.9,1.99,15.9,224.6,58.1,148.7,22.8,32.8
1365,30.39,48.51,226.8,1.84,14.3,204.6,52.5,133.9,20.6,30.0
1366,28.34,46.06,211.7,1.73,13.4,189.7,49.2,126.7,18.8,27.5
1367,25.88,41.22,188.9,1.56,12.2,173.6,45.4,115.8,17.1,24.9
1368,23.86,37.97,174.6,1.42,11.1,159.6,41.8,106.1,16.2,22.8
1369,22.81,36.72,168.2,1.36,10.5,151.2,39.1,98.9,14.9,22.1
1370,21.9,35.06,160.1,1.34,10.2,147.3,38.3,97.8,14.8,21.1
1371,22.34,35.2,163.7,1.33,10.2,147.0,38.4,98.1,14.7,21.4
1372,22.6,35.83,164.3,1.36,10.6,151.4,39.9,100.1,15.3,22.2
1373,25.85,41.14,189.5,1.57,12.3,173.5,45.5,113.0,17.6,24.8
1374,29.26,46.59,214.5,1.73,13.7,193.9,50.8,126.7,19.6,28.2
1375,30.61,49.24,227.5,1.86,14.3,205.0,53.9,137.3,20.7,29.6
1376,32.25,51.27,236.5,1.94,15.1,215.9,56.8,141.5,21.8,30.9
1377,33.75,53.68,247.2,1.99,15.7,222.7,58.3,147.5,22.1,32.4
1378,33.91,54.49,250.0,2.04,15.9,226.6,59.5,149.8,22.6,32.9
1379,33.94,54.95,254.1,2.05,15.8,229.5,59.6,151.9,23.1,33.0
1380,34.41,56.3,252.0,2.11,16.2,231.6,59.8,154.1,22.8,34.0
1381,34.75,54.78,251.0,2.06,16.3,229.7,60.5,151.7,22.8,33.8
1382,34.31,54.36,245.7,2.03,15.9,226.4,59.1,151.3,22.7,32.7
1383,33.68,53.1,246.6,2.02,15.3,221.8,57.0,145.2,22.4,32.3
1384,31.91,52.12,236.6,1.92,15.0,215.6,55.7,141.5,21.3,31.2
